Clofarabine	Dasatinib	Docetaxel	Erlotinib	Fludarabine	Gefitinib	Imatinib	Lapatinib	Nilotinib	Sorafenib	Valproic acid	Vorinostat	Vandetanib	Afatinib	Trametinib	Cobimetinib	Osimertinib	Binimetinib	Lorlatinib
0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0
0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0
0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
0	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1
0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0
0	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	1
0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0
0	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0
0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0
0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0
0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	1	0
0	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0
0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
0	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0
0	0	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0
0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
0	0	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0
0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1
0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
0	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0
0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0	0	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0
0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0
0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1
0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0
0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1
0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1
0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
0	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	1
0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0
0	0	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0
0	0	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0
0	0	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0
0	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	0
0	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	0
0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1
0	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	0
0	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0
0	1	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	1	0
0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	1
0	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	0
0	0	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0
0	0	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0
0	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1
0	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	0
0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
